osmid,highway,oneway,reversed,length,geometry,name,ref,access,lanes,tunnel,maxspeed,bridge,junction
23306331,residential,False,True,72.69500000000001,"LINESTRING (80.2159521 13.0781564, 80.2161622 13.0781338, 80.2163999 13.0780967, 80.216617 13.0780682)",,,,,,,,
23306321,residential,False,False,26.727,"LINESTRING (80.2165784 13.0778308, 80.216617 13.0780682)",N.S.K. Nagar Main Road,,,,,,,
23306321,residential,False,True,26.095,"LINESTRING (80.2165784 13.0778308, 80.2165601 13.0775968)",N.S.K. Nagar Main Road,,,,,,,
23306332,residential,False,False,70.37899999999999,"LINESTRING (80.2165784 13.0778308, 80.2163628 13.0778753, 80.2161537 13.0779197, 80.2159423 13.0779599)",,,,,,,,
23306332,residential,False,True,70.379,"LINESTRING (80.2159423 13.0779599, 80.2161537 13.0779197, 80.2163628 13.0778753, 80.2165784 13.0778308)",,,,,,,,
23306333,residential,False,True,77.193,"LINESTRING (80.2158548 13.0776965, 80.2163565 13.0776271, 80.2165601 13.0775968)",,,,,,,,
23306321,residential,False,False,26.648,"LINESTRING (80.2165229 13.0773599, 80.2165601 13.0775968)",N.S.K. Nagar Main Road,,,,,,,
23306321,residential,False,True,29.181,"LINESTRING (80.2165229 13.0773599, 80.2164979 13.0770986)",N.S.K. Nagar Main Road,,,,,,,
23306334,residential,False,False,65.11500000000001,"LINESTRING (80.2165229 13.0773599, 80.2160663 13.0774283, 80.2159296 13.077454)",,,,,,,,
23306321,residential,False,False,18.183,"LINESTRING (80.2166757 13.0784432, 80.2167045 13.0786043)",N.S.K. Nagar Main Road,,,,,,,
23306321,residential,False,True,13.425,"LINESTRING (80.2166757 13.0784432, 80.2166595 13.0783235)",N.S.K. Nagar Main Road,,,,,,,
23306335,residential,False,False,114.283,"LINESTRING (80.2166757 13.0784432, 80.2175986 13.0783132, 80.2177207 13.078302)",,,,,,,,
23306336,residential,False,True,104.094,"LINESTRING (80.2177151 13.0787939, 80.2171231 13.0788557, 80.2167588 13.0788866)",,,,,,,,
845727138,secondary,True,False,40.381,"LINESTRING (80.2177151 13.0787939, 80.2177126 13.079066, 80.2177156 13.079157)",Anna Arch Road,,,2,,,,
23306337,residential,False,True,102.103,"LINESTRING (80.2177156 13.079157, 80.2167739 13.0791991)",,,,,,,,
845727138,secondary,True,False,24.041,"LINESTRING (80.2177156 13.079157, 80.2177226 13.0793731)",Anna Arch Road,,,2,,,,
23306321,residential,False,False,3.514,"LINESTRING (80.2167738 13.0791675, 80.2167739 13.0791991)",N.S.K. Nagar Main Road,,,,,,,
23306321,residential,False,True,31.277,"LINESTRING (80.2167738 13.0791675, 80.2167588 13.0788866)",N.S.K. Nagar Main Road,,,,,,,
23306338,residential,False,False,72.511,"LINESTRING (80.2167738 13.0791675, 80.2164713 13.0791301, 80.2162996 13.0791199, 80.2161075 13.0791324)",,,,,,,,
23306338,residential,False,True,72.511,"LINESTRING (80.2161075 13.0791324, 80.2162996 13.0791199, 80.2164713 13.0791301, 80.2167738 13.0791675)",,,,,,,,
23306321,residential,False,True,6.055,"LINESTRING (80.2167695 13.0793999, 80.216767 13.0793455)",N.S.K. Nagar Main Road,,,,,,,
23306321,residential,False,False,24.221999999999998,"LINESTRING (80.2167695 13.0793999, 80.2167756 13.0795683, 80.2167793 13.0796175)",N.S.K. Nagar Main Road,,,,,,,
23306339,residential,False,False,103.277,"LINESTRING (80.2167695 13.0793999, 80.2176009 13.079374, 80.2177226 13.0793731)",,,,,,,,
23306321,residential,False,False,6.34,"LINESTRING (80.2167793 13.0796175, 80.2167777 13.0796745)",N.S.K. Nagar Main Road,,,,,,,
